--Probe dump file for probe: org.yardstickframework.probes.VmStatProbe@831539 (class org.yardstickframework.probes.VmStatProbe)
--Created Thu Jul 23 14:05:10 IST 2015
--Benchmark config: BenchmarkConfiguration [driverNames='[SparkIgniteSqlBenchmark]', serverName='IgniteNode', threads=64, duration=10, warmup=60, dfltProbeClsNames=[ThroughputLatencyProbe, PercentileProbe, DStatProbe, VmStatProbe], propsFileName='config/benchmark-IgniteSQL.properties', packages=[org.yardstickframework, org.yardstickframework.ignite, org.yardstickframework.spark, org.apache.ignite.yardstick], cmdArgs=[--outputFolder, results-20150723-140457, -cfg, /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml, -nn, 3, -b, 1, -w, 60, -d, 10, -t, 64, -sm, PRIMARY_SYNC, -dn, SparkIgniteSqlBenchmark, -cn, atomic, -sn, IgniteNode, -ds, RELEASE--IgniteSQL-1-backup, --config, config/benchmark-IgniteSQL.properties], probeWriter='null', customProps={BENCHMARK_PACKAGES=org.yardstickframework,org.yardstickframework.ignite,org.yardstickframework.spark,org.apache.ignite.yardstick, DRIVER_HOSTS=localhost, RESTART_SERVERS=true, CONFIGS="-cfg /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml -nn ${nodesNum} -b 1 -w 60 -d 10 -t 64 -sm PRIMARY_SYNC -dn SparkIgniteSqlBenchmark -cn atomic -sn IgniteNode -ds ${ver}-IgniteSQL-1-backup", JVM_OPTS=${JVM_OPTS}" -Xloggc:./gc.log -XX:+PrintGCDetails -verbose:gc -XX:+UseParNewGC -XX:+UseConcMarkSweepGC -XX:+UseTLAB -XX:NewSize=128m -XX:MaxNewSize=128m -XX:MaxTenuringThreshold=0 -XX:SurvivorRatio=1024 -XX:+UseCMSInitiatingOccupancyOnly -XX:CMSInitiatingOccupancyFraction=60 ", nodesNum=$((`echo ${SERVER_HOSTS} | tr ',' '' | wc -l` + `echo ${DRIVER_HOSTS} | tr ',' '' | wc -l`)), ver="RELEASE-", SERVER_HOSTS=localhost,localhost}, shutdownHook=true, outputFolder=results-20150723-140457, outputWriter=java.io.PrintStream@87dabe, errorWriter=java.io.PrintStream@12a1f67, descriptions=[RELEASE--IgniteSQL-1-backup], hostName=]
--Description: RELEASE--IgniteSQL-1-backup
@@SparkIgniteSqlBenchmark
**"Time, sec","Processes Waiting For Run Time","Processes In Uninterruptible Sleep","Memory Used, KB","Memory Free, KB","Memory Buffered, KB","Memory Cached, KB","Memory Swapped In From Disk, per sec","Memory Swapped To Disk, per sec","IO Blocks Received, blocks/sec","IO Blocks Sent, blocks/sec","System Interrupts, per sec","System Context Switches, per sec","CPU User, %","CPU System, %","CPU Idle, %","CPU Wait, %"
1437640573,19.00,0.00,0.00,5399252.00,88880.00,1835844.00,0.00,0.00,0.00,292.00,4375.00,15844.00,80.00,5.00,14.00,1.00
1437640574,3.00,0.00,0.00,5395952.00,88888.00,1836048.00,0.00,0.00,0.00,140.00,5007.00,18960.00,89.00,6.00,5.00,0.00
1437640575,3.00,0.00,0.00,5395864.00,88888.00,1836160.00,0.00,0.00,0.00,0.00,4455.00,17004.00,72.00,6.00,22.00,0.00
1437640576,6.00,0.00,0.00,5395976.00,88908.00,1836272.00,0.00,0.00,0.00,0.00,4426.00,17866.00,79.00,5.00,16.00,0.00
1437640577,6.00,0.00,0.00,5397320.00,88924.00,1836384.00,0.00,0.00,0.00,336.00,4660.00,17281.00,80.00,6.00,14.00,0.00
1437640578,12.00,0.00,0.00,5397492.00,88940.00,1836472.00,0.00,0.00,0.00,0.00,4523.00,16791.00,80.00,6.00,14.00,0.00
1437640579,3.00,0.00,0.00,5395368.00,88948.00,1836576.00,0.00,0.00,0.00,184.00,4596.00,17887.00,79.00,7.00,14.00,0.00
1437640580,9.00,0.00,0.00,5396400.00,88968.00,1836696.00,0.00,0.00,0.00,0.00,4579.00,16813.00,82.00,8.00,10.00,0.00
1437640581,9.00,0.00,0.00,5396528.00,88984.00,1836768.00,0.00,0.00,0.00,0.00,4595.00,17091.00,80.00,7.00,13.00,0.00
