--Probe dump file for probe: org.yardstickframework.probes.VmStatProbe@f14ac9 (class org.yardstickframework.probes.VmStatProbe)
--Created Thu Jul 23 17:05:52 IST 2015
--Benchmark config: BenchmarkConfiguration [driverNames='[SparkIgniteSqlBenchmark]', serverName='IgniteNode', threads=64, duration=10, warmup=60, dfltProbeClsNames=[ThroughputLatencyProbe, PercentileProbe, DStatProbe, VmStatProbe], propsFileName='config/benchmark-IgniteSQL.properties', packages=[org.yardstickframework, org.yardstickframework.ignite, org.yardstickframework.spark, org.apache.ignite.yardstick], cmdArgs=[--outputFolder, results-20150723-170539, -cfg, /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml, -nn, 3, -b, 1, -w, 60, -d, 10, -t, 64, -sm, PRIMARY_SYNC, -dn, SparkIgniteSqlBenchmark, -cn, atomic, -sn, IgniteNode, -ds, RELEASE--IgniteSQL-1-backup, --config, config/benchmark-IgniteSQL.properties], probeWriter='null', customProps={BENCHMARK_PACKAGES=org.yardstickframework,org.yardstickframework.ignite,org.yardstickframework.spark,org.apache.ignite.yardstick, DRIVER_HOSTS=localhost, RESTART_SERVERS=true, CONFIGS="-cfg /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml -nn ${nodesNum} -b 1 -w 60 -d 10 -t 64 -sm PRIMARY_SYNC -dn SparkIgniteSqlBenchmark -cn atomic -sn IgniteNode -ds ${ver}-IgniteSQL-1-backup", JVM_OPTS=${JVM_OPTS}" -Xloggc:./gc.log -XX:+PrintGCDetails -verbose:gc -XX:+UseParNewGC -XX:+UseConcMarkSweepGC -XX:+UseTLAB -XX:NewSize=128m -XX:MaxNewSize=128m -XX:MaxTenuringThreshold=0 -XX:SurvivorRatio=1024 -XX:+UseCMSInitiatingOccupancyOnly -XX:CMSInitiatingOccupancyFraction=60 ", nodesNum=$((`echo ${SERVER_HOSTS} | tr ',' '' | wc -l` + `echo ${DRIVER_HOSTS} | tr ',' '' | wc -l`)), ver="RELEASE-", SERVER_HOSTS=localhost,localhost}, shutdownHook=true, outputFolder=results-20150723-170539, outputWriter=java.io.PrintStream@1b85bf3, errorWriter=java.io.PrintStream@9cebec, descriptions=[RELEASE--IgniteSQL-1-backup], hostName=]
--Description: RELEASE--IgniteSQL-1-backup
@@SparkIgniteSqlBenchmark
**"Time, sec","Processes Waiting For Run Time","Processes In Uninterruptible Sleep","Memory Used, KB","Memory Free, KB","Memory Buffered, KB","Memory Cached, KB","Memory Swapped In From Disk, per sec","Memory Swapped To Disk, per sec","IO Blocks Received, blocks/sec","IO Blocks Sent, blocks/sec","System Interrupts, per sec","System Context Switches, per sec","CPU User, %","CPU System, %","CPU Idle, %","CPU Wait, %"
1437651424,9.00,0.00,0.00,6127368.00,144856.00,2735844.00,0.00,0.00,0.00,0.00,2698.00,5899.00,94.00,2.00,4.00,0.00
1437651425,8.00,0.00,0.00,6114956.00,144856.00,2735972.00,0.00,0.00,0.00,0.00,4017.00,11703.00,93.00,3.00,4.00,0.00
1437651426,6.00,0.00,0.00,6114956.00,144856.00,2736044.00,0.00,0.00,0.00,0.00,2823.00,6486.00,94.00,2.00,4.00,0.00
1437651427,11.00,0.00,0.00,6110836.00,144864.00,2736048.00,0.00,0.00,0.00,128.00,3014.00,6660.00,97.00,2.00,1.00,0.00
1437651428,8.00,0.00,0.00,6104436.00,144872.00,2736072.00,0.00,0.00,0.00,608.00,2907.00,6721.00,95.00,2.00,3.00,0.00
1437651429,11.00,0.00,0.00,6100248.00,144872.00,2736136.00,0.00,0.00,0.00,0.00,3182.00,7187.00,97.00,3.00,1.00,0.00
1437651430,8.00,0.00,0.00,6096088.00,144872.00,2736144.00,0.00,0.00,0.00,0.00,3491.00,7279.00,94.00,3.00,3.00,0.00
