--Probe dump file for probe: org.yardstickframework.probes.VmStatProbe@7309e9 (class org.yardstickframework.probes.VmStatProbe)
--Created Thu Jul 23 13:57:31 IST 2015
--Benchmark config: BenchmarkConfiguration [driverNames='[SparkSqlQueryBenchmark]', serverName='IgniteNode', threads=64, duration=10, warmup=60, dfltProbeClsNames=[ThroughputLatencyProbe, PercentileProbe, DStatProbe, VmStatProbe], propsFileName='config/benchmark-SparkSQL.properties', packages=[org.yardstickframework, org.yardstickframework.ignite, org.yardstickframework.spark, org.apache.ignite.yardstick], cmdArgs=[--outputFolder, results-20150723-135712, -cfg, /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml, -nn, 2, -b, 1, -w, 60, -d, 10, -t, 64, -sm, PRIMARY_SYNC, -dn, SparkSqlQueryBenchmark, -cn, atomic, -sn, IgniteNode, -ds, hz-3.4.2--SparkSQL-1-backup, --config, config/benchmark-SparkSQL.properties], probeWriter='null', customProps={BENCHMARK_PACKAGES=org.yardstickframework,org.yardstickframework.ignite,org.yardstickframework.spark,org.apache.ignite.yardstick, "=, SQL_CONFIG_FILE=config/benchmark-twitter.yml, DRIVER_HOSTS=localhost, RESTART_SERVERS=true, CONFIGS="-cfg /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml -nn ${nodesNum} -b 1 -w 60 -d 10 -t 64 -sm PRIMARY_SYNC -dn SparkSqlQueryBenchmark -cn atomic -sn IgniteNode -ds ${ver}-SparkSQL-1-backup, JVM_OPTS=${JVM_OPTS}" -Xloggc:./gc.log -XX:+PrintGCDetails -verbose:gc -XX:+UseParNewGC -XX:+UseConcMarkSweepGC -XX:+UseTLAB -XX:NewSize=128m -XX:MaxNewSize=128m -XX:MaxTenuringThreshold=0 -XX:SurvivorRatio=1024 -XX:+UseCMSInitiatingOccupancyOnly -XX:CMSInitiatingOccupancyFraction=60 ", nodesNum=$((`echo ${SERVER_HOSTS} | tr ',' '' | wc -l` + `echo ${DRIVER_HOSTS} | tr ',' '' | wc -l`)), ver="hz-3.4.2-", SERVER_HOSTS=localhost, BENCHMARK_LABEL=sparkcore}, shutdownHook=true, outputFolder=results-20150723-135712, outputWriter=java.io.PrintStream@d7d848, errorWriter=java.io.PrintStream@b8627a, descriptions=[hz-3.4.2--SparkSQL-1-backup], hostName=]
--Description: hz-3.4.2--SparkSQL-1-backup
@@SparkSqlQueryBenchmark
**"Time, sec","Processes Waiting For Run Time","Processes In Uninterruptible Sleep","Memory Used, KB","Memory Free, KB","Memory Buffered, KB","Memory Cached, KB","Memory Swapped In From Disk, per sec","Memory Swapped To Disk, per sec","IO Blocks Received, blocks/sec","IO Blocks Sent, blocks/sec","System Interrupts, per sec","System Context Switches, per sec","CPU User, %","CPU System, %","CPU Idle, %","CPU Wait, %"
1437640114,22.00,0.00,0.00,5304804.00,86904.00,1763228.00,0.00,0.00,0.00,0.00,5485.00,23824.00,83.00,7.00,9.00,0.00
1437640115,5.00,0.00,0.00,5304368.00,86904.00,1763304.00,0.00,0.00,0.00,0.00,5594.00,21411.00,86.00,6.00,8.00,0.00
1437640116,5.00,0.00,0.00,5295120.00,86904.00,1770984.00,0.00,0.00,2320.00,1404.00,11209.00,78507.00,63.00,12.00,23.00,1.00
1437640117,3.00,0.00,0.00,5278824.00,86920.00,1781016.00,0.00,0.00,0.00,5960.00,7770.00,41743.00,79.00,10.00,11.00,1.00
1437640118,28.00,0.00,0.00,5281112.00,86936.00,1784488.00,0.00,0.00,0.00,0.00,8725.00,55094.00,77.00,8.00,15.00,0.00
1437640119,11.00,0.00,0.00,5273916.00,86952.00,1791428.00,0.00,0.00,0.00,0.00,5966.00,23457.00,83.00,8.00,9.00,0.00
1437640120,7.00,0.00,0.00,5268392.00,86984.00,1795840.00,0.00,0.00,0.00,0.00,9708.00,63285.00,71.00,10.00,19.00,0.00
1437640121,11.00,0.00,0.00,5267444.00,87000.00,1796652.00,0.00,0.00,0.00,0.00,7863.00,41093.00,78.00,8.00,15.00,0.00
1437640122,5.00,0.00,0.00,5266236.00,87008.00,1797904.00,0.00,0.00,0.00,960.00,9338.00,62887.00,70.00,11.00,18.00,1.00
